iter	MultiClass
0	1.06489205
1	1.038915685
2	1.017007656
3	0.9998958923
4	0.9835905323
5	0.9705453366
6	0.959710884
7	0.949615895
8	0.9420205872
9	0.9347481956
10	0.9286602789
11	0.9238511498
12	0.9194482915
13	0.9162014651
14	0.9119919497
15	0.9093206997
16	0.9071326003
17	0.9048765275
18	0.9029707784
19	0.9012087962
20	0.8999845931
21	0.8988051901
22	0.89733065
23	0.8961062652
24	0.89505349
25	0.8940927476
26	0.8932892911
27	0.8916112504
28	0.8909425928
29	0.890305183
30	0.889875068
31	0.8886744609
32	0.8880152585
33	0.8872573633
34	0.8867921547
35	0.8862958823
36	0.8857329713
37	0.8852072552
38	0.8842440642
39	0.8836396889
40	0.8833203507
41	0.8828593119
42	0.8826706942
43	0.882425368
44	0.8821541121
45	0.8813657023
46	0.881138353
47	0.8806696805
48	0.8803974763
49	0.8800498147
50	0.8795934218
51	0.8793775158
52	0.8790549236
53	0.8788335671
54	0.878638128
55	0.8781489576
56	0.8778564814
57	0.8776763148
58	0.8774143938
59	0.8769415903
60	0.8767076842
61	0.8764576027
62	0.87625749
63	0.876131837
64	0.8754361773
65	0.8750174656
66	0.8744575136
67	0.8743241352
68	0.8741387127
69	0.8739817942
70	0.8738168551
71	0.8736710021
72	0.8733094158
73	0.8730190074
74	0.8728313609
75	0.8726966506
76	0.8721871061
77	0.8718407502
78	0.871366241
79	0.8709847932
80	0.8708548793
81	0.8706461969
82	0.8704153582
83	0.8702739142
84	0.8701811511
85	0.8700670259
86	0.8698787225
87	0.8696554998
88	0.8695234038
89	0.8694240917
90	0.8693347911
91	0.869104987
92	0.8690345885
93	0.8688748631
94	0.8687624059
95	0.8686064473
96	0.8684863931
97	0.8684076829
98	0.8682107904
99	0.8680631406
