iter	Passed	Remaining
0	8	808
1	16	788
2	25	812
3	30	734
4	37	705
5	43	680
6	49	655
7	55	642
8	62	628
9	68	614
10	74	604
11	80	592
12	86	579
13	93	572
14	98	557
15	104	547
16	110	537
17	115	525
18	121	517
19	126	505
20	131	493
21	136	483
22	141	473
23	146	464
24	152	456
25	157	449
26	163	440
27	168	433
28	173	423
29	178	416
30	198	441
31	203	432
32	208	422
33	214	416
34	219	407
35	224	399
36	230	392
37	237	387
38	242	379
39	248	373
40	253	365
41	260	359
42	268	356
43	276	351
44	284	347
45	292	343
46	298	336
47	305	331
48	311	323
49	316	316
50	322	309
51	327	302
52	333	295
53	338	288
54	342	280
55	347	273
56	352	265
57	357	258
58	361	251
59	366	244
60	372	237
61	377	231
62	382	224
63	387	217
64	392	211
65	397	204
66	401	197
67	406	191
68	411	184
69	416	178
70	421	171
71	426	165
72	431	159
73	436	153
74	441	147
75	447	141
76	452	135
77	457	128
78	461	122
79	466	116
80	471	110
81	476	104
82	480	98
83	486	92
84	491	86
85	496	80
86	501	74
87	506	69
88	510	63
89	516	57
90	521	51
91	525	45
92	529	39
93	534	34
94	538	28
95	543	22
96	547	16
97	552	11
98	557	5
99	562	0
